"","Sp","Pot_Area","Hab_Area","BAU_Area","Hab_perc","BAU_perc","Ext_015","Ext_025","Ext_035"
"171","Hemipogon furlanii",3057327.80331057,1344272.53608597,1843913.65569315,0.439688715953307,0.603112840466926,0.0730425777823216,0.118748957602541,0.162201649058874
"172","Hemipogon hatschbachii",1487027.14168802,1011178.45634785,1451338.49028751,0.68,0.976,0.00363727292423399,0.00605476870288391,0.00846639886083078
"173","Hemipogon piranii",1522715.79308853,1034970.89061486,1487027.14168802,0.6796875,0.9765625,0.00355115866124267,0.00591158904118672,0.00826642793329158
"174","Heterocoma albida",1153933.06194991,832735.199345292,1118244.41054939,0.721649484536082,0.969072164948454,0.00470134336036809,0.00782328660433085,0.0109354372804513
"175","Heterocondylus lysimachioides",582914.639541705,47584.8685340167,333094.079738117,0.0816326530612245,0.571428571428571,0.0805157538907636,0.130558256110017,0.177877218432899
"176","Heteropterys aliciae",1427546.0560205,1094451.97628238,1284791.45041845,0.766666666666667,0.9,0.0156798482214928,0.0259962535747033,0.0362045353471665
"177","Heteropterys dusenii",249820.559803588,59481.0856675209,130858.388468546,0.238095238095238,0.523809523809524,0.0924386163443676,0.149266866487648,0.202536734715934
"178","Heteropterys hatschbachii",582914.639541705,226028.125536579,226028.125536579,0.387755102040816,0.387755102040816,0.132471745655228,0.210886669053653,0.282213753893753
"179","Heteropterys marginata",1046867.10774837,392575.165405638,892216.285012813,0.375,0.852272727272727,0.0236921333244186,0.0391742185260663,0.0544107920706101
"180","Hippeastrum goianum",1724951.48435811,547225.988141192,630499.508075721,0.317241379310345,0.36551724137931,0.14012330191228,0.222452432874195,0.296898938548068
"181","Hippeastrum leucobasis",1368064.97035298,475848.685340167,440160.033939654,0.347826086956522,0.321739130434783,0.156421344480582,0.246859554472932,0.327602083128271
"182","Hoffmannseggella briegeri",987386.022080846,737565.462277259,951697.370680334,0.746987951807229,0.963855421686747,0.00550687722247667,0.00916127076721918,0.0128022357704525
