,Sp,Pot_Area,Hab_Area,BAU_Area,,,,
86,Chromolaena costatipes,431057.3945,191581.0642,191581.0642,0.15,,,
87,Chronopappus bifrons,1161460.202,371188.3119,335266.8624,0.22,,,
88,Chrysolaena nicolackii,323293,0,0,1.00,,,
89,Cinnamomum erythropus,1556596.147,490926.4771,419083.578,0.23,,,
90,Cinnamomum quadrangulum,1796072.477,610664.6422,526847.9266,0.22,,,
91,Cipocereus bradei,921983.8716,227502.5138,167633.4312,0.29,,,
92,Cissus inundata,838167.156,227502.5138,203554.8807,0.25,,,
93,Cleistes aphylla,3723856.936,862114.789,742376.6239,0.28,,,
94,Comanthera brasiliana,11974,0,0,1.00,,,
95,Comanthera elegans,1616465.229,550795.5596,490926.4771,0.21,,,
96,Constantia cipoensis,1496727.064,466978.844,395135.945,0.23,,,
97,Croton leptobotryus,502900.2936,107764.3486,35921.44954,0.41,,,
98,Cryptanthus caracensis,1484753.248,466978.844,395135.945,0.23,,,
99,Cryptanthus glazioui,1484753.248,466978.844,395135.945,0.23,,,
100,Cryptanthus minarum,107764.3486,23947.63303,11973.81651,0.36,,,
101,Cuphea adenophylla,35921.44954,11973.81651,11973.81651,0.20,,,
102,Cuphea cipoensis,1496727.064,466978.844,395135.945,0.23,,,
103,Cuphea cuiabensis,2071470.257,622638.4587,287371.5963,0.33,,,
104,Cuphea rubro-virens,143685.7982,35921.44954,23947.63303,0.30,,,
105,Cuphea teleandra,742376.6239,287371.5963,275397.7798,0.18,,,
106,Cyanocephalus caprariifolius,1556596.147,95790.53211,71842.89908,0.46,,,
107,Cyanocephalus digitatus,4071097.615,826193.3395,778298.0734,0.28,,,
108,Cyanocephalus tagetifolius,478952.6606,143685.7982,143685.7982,0.21,,,
109,Cyrtopodium caiapoense,4023202.349,814219.5229,742376.6239,0.29,,,
110,Cyrtopodium latifolium,826193.3395,143685.7982,107764.3486,0.33,,,
111,Cyrtopodium linearifolium,3568197.321,742376.6239,706455.1743,0.28,,,
112,Cyrtopodium triste,826193.3395,143685.7982,107764.3486,0.33,,,
113,Digitaria neesiana,4454259.743,838167.156,622638.4587,0.33,,,
114,Dimerostemma grazielae,5340322.165,933957.6881,850140.9725,0.31,,,
115,Diplusodon aggregatifolius,395135.945,83816.7156,71842.89908,0.29,,,
116,Diplusodon ericoides,586717.0092,59869.08257,59869.08257,0.37,,,
117,Diplusodon glaziovii,71843,0,0,1.00,,,
118,Diplusodon gracilis,107764.3486,11973.81651,11973.81651,0.36,,,
119,Diplusodon hatschbachii,874088.6055,179607.2477,179607.2477,0.27,,,
120,Diplusodon minasensis,742376.6239,275397.7798,251450.1468,0.19,,,
121,Diplusodon orbicularis,1580543.78,562769.3761,514874.1101,0.20,,,
