,Sp,Pot_Area,Hab_Area,BAU_Area,,,,
371,Vellozia alata,1556596.147,478952.6606,407109.7615,0.24,,,
372,Vellozia armata,107764.3486,35921.44954,35921.44954,0.20,,,
373,Vellozia barbata,143685.7982,11973.81651,11973.81651,0.39,,,
374,Vellozia gigantea,287371.5963,107764.3486,95790.53211,0.20,,,
375,Vellozia glabra,2023574.991,610664.6422,526847.9266,0.24,,,
376,Vellozia hatschbachii,945931.5046,335266.8624,299345.4128,0.21,,,
377,Vellozia lilacina,1508700.881,478952.6606,407109.7615,0.23,,,
378,Vellozia metzgerae,1748177.211,514874.1101,431057.3945,0.24,,,
379,Vellozia nuda,203554.8807,47895.26606,35921.44954,0.29,,,
380,Vellozia patens,1724229.578,514874.1101,431057.3945,0.24,,,
381,Vellozia sessilis,1257250.734,323293.0459,323293.0459,0.24,,,
382,Vellozia streptophylla,95790.53211,23947.63303,23947.63303,0.24,,,
383,Vochysia pygmaea,2059496.44,658559.9083,574743.1927,0.23,,,
384,Vriesea diamantinensis,239476.3303,71842.89908,71842.89908,0.21,,,
385,Vriesea saxicola,466978.844,47895.26606,47895.26606,0.37,,,
386,Wedelia macedoi,251450.1468,23947.63303,11973.81651,0.46,,,
387,Wunderlichia senae,933957.6881,335266.8624,311319.2294,0.20,,,
388,Xyris aurea,1724229.578,586717.0092,502900.2936,0.22,,,
389,Xyris blepharophylla,1748177.211,598690.8257,514874.1101,0.22,,,
390,Xyris cipoensis,1532648.514,478952.6606,407109.7615,0.23,,,
391,Xyris coutensis,167633.4312,95790.53211,95790.53211,0.11,,,
392,Xyris dardanoi,1508700.881,478952.6606,407109.7615,0.23,,,
393,Xyris nigricans,155659.6147,71842.89908,71842.89908,0.14,,,
394,Xyris obtusiuscula,1520674.697,478952.6606,407109.7615,0.23,,,
395,Xyris platystachya,850140.9725,347240.6789,323293.0459,0.18,,,
396,Xyris tortilis,1496727.064,466978.844,395135.945,0.23,,,
397,Xyris uninervis,215529,0,0,1.00,,,
